label,proto,n_packets,duration_s,len_mean,len_stdev,len_entropy,n_unique_sizes,dominant_size,dominant_size_fraction,top3_size_fraction,bulk_fraction,ack60_fraction,ack_to_data_ratio,iat_mean,iat_stdev,rate_pps,flow_key
wg-udp2raw,tcp,24,7.2,599,619.6,1.325,3,60,0.5,1.0,0.417,0.5,1.0,0.3131,0.3827,3.33,tcp:10.66.66.2:16510<->158.101.122.42:4096
wg-udp2raw,tcp,87,75.78,603.7,609.7,2.853,15,60,0.368,0.69,0.391,0.368,0.582,0.8812,3.5016,1.15,tcp:10.0.2.15:46257<->158.101.122.42:4096
wg-udp2raw,tcp,256,63.6,838.1,603.1,1.863,10,60,0.34,0.961,0.621,0.34,0.515,0.2494,0.2539,4.02,tcp:10.0.2.15:38526<->158.101.122.42:4096
